quarter_type,quarter_id,agent,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
good,194_2,135,0,0,0,0,0,0,0,0,0,0
good,194_2,136,0,0,0,0,0,0,0,0,0,0
good,194_2,137,0,0,0,0,0,1,0,0,0,0
good,194_2,138,0,0,0,0,0,0,0,0,0,0
good,194_2,139,0,0,0,0,0,0,0,0,0,0
good,194_2,140,0,0,0,0,0,0,1,0,0,0
good,194_2,141,0,0,0,0,0,0,0,0,0,0
good,194_2,142,0,0,0,0,0,0,0,0,0,0
good,194_2,143,0,0,0,0,0,0,0,0,0,0
good,194_2,144,0,0,0,0,0,0,0,0,0,0
good,194_2,145,0,0,0,0,0,0,0,1,0,0
good,194_2,146,0,0,0,0,0,0,0,0,0,0
good,194_2,147,0,0,0,0,0,0,0,0,0,0
good,194_2,148,0,0,0,0,0,0,0,0,0,0
good,194_2,149,0,0,0,0,0,0,1,0,0,0
good,194_2,150,0,0,0,0,0,1,0,0,0,0
good,194_2,151,0,0,0,0,0,0,0,0,0,0
good,194_2,152,0,0,0,0,0,0,0,0,0,0
good,194_2,153,0,0,0,0,0,0,0,0,0,0
good,194_2,154,0,0,0,0,0,0,0,0,0,0
good,194_2,155,0,0,0,0,0,0,0,0,0,1
good,194_2,156,0,0,0,0,0,0,0,0,0,0
good,194_2,157,0,0,0,0,0,0,0,0,0,0
good,194_2,158,0,0,0,0,1,0,0,0,0,1
good,194_2,159,0,0,0,0,0,0,0,0,0,0
good,194_2,160,0,0,0,0,0,0,0,0,0,0
good,194_2,161,0,0,0,0,0,0,0,0,0,0
good,194_2,162,0,0,0,0,0,0,0,0,0,0
good,194_2,163,0,0,0,0,0,0,0,0,0,0
good,194_2,164,0,0,0,0,0,0,0,0,0,0
good,194_2,165,0,0,0,0,0,0,0,0,0,0
good,194_2,166,0,0,0,0,0,0,0,0,0,0
good,194_2,167,0,0,0,0,0,0,0,0,0,0
good,194_2,168,0,0,0,0,0,0,0,0,0,0
good,194_2,169,0,0,0,0,0,0,0,0,0,0
good,194_2,170,0,0,0,0,0,0,0,0,0,0
good,194_2,171,0,0,0,0,0,0,1,0,0,0
good,194_2,172,0,0,0,0,0,0,0,0,0,0
good,194_2,173,0,0,0,0,1,0,0,0,0,0
good,194_2,174,0,0,0,0,0,0,0,0,0,0
good,194_2,175,0,0,0,0,0,0,0,0,0,0
good,194_2,176,0,0,0,0,0,0,0,0,0,0
good,194_2,177,0,0,0,0,0,0,0,0,0,0
good,194_2,178,0,0,0,0,0,0,0,0,0,0
good,194_2,179,0,0,0,0,0,0,0,0,0,0
good,194_2,180,0,0,0,0,0,0,0,1,0,0
good,194_2,181,0,0,0,0,0,0,0,0,0,0
good,194_2,182,0,0,0,0,0,0,0,0,0,0
good,194_2,183,0,0,0,1,0,0,0,0,0,0
good,194_2,184,0,0,0,0,0,0,0,0,0,0
good,194_2,185,0,0,0,0,0,0,0,0,0,0
good,194_2,186,0,0,0,0,0,0,0,0,0,0
good,194_2,187,0,0,0,0,0,0,0,0,0,0
good,194_2,188,0,0,0,0,0,0,0,0,0,0
good,194_2,189,0,0,0,0,0,0,1,0,0,0
good,194_2,190,0,0,0,0,0,0,0,0,0,0
good,194_2,191,0,0,0,0,0,0,0,0,0,0
good,194_2,192,0,0,0,0,0,0,1,0,0,0
good,194_2,193,0,0,0,0,0,0,0,0,0,0
good,194_2,194,0,0,0,0,0,0,0,0,0,1
good,194_2,195,0,0,0,0,0,0,0,0,0,0
good,194_2,196,0,0,0,0,0,0,0,0,0,0
good,194_2,197,0,0,0,0,0,0,0,0,0,0
good,194_2,198,0,0,0,0,0,0,0,0,0,0
good,194_2,199,0,0,0,0,0,0,0,0,0,0
good,43_1,0,0,1,0,0,0,0,0,0,0,0
good,43_1,1,0,0,0,0,0,0,0,0,0,0
good,43_1,2,0,0,0,0,0,0,0,0,0,0
good,43_1,3,0,0,0,0,0,0,0,0,0,0
good,43_1,4,0,0,0,0,0,0,0,0,0,0
good,43_1,5,0,0,0,0,0,0,0,0,0,0
good,43_1,6,0,0,0,0,0,0,0,0,0,0
good,43_1,7,0,0,0,0,0,0,0,0,0,0
good,43_1,8,0,0,0,0,0,0,0,0,0,0
good,43_1,9,0,0,0,0,0,0,0,0,0,0
good,43_1,10,0,0,0,0,0,0,0,0,0,0
good,43_1,11,0,0,0,0,0,0,0,0,0,0
good,43_1,12,0,0,0,0,0,0,0,0,0,0
good,43_1,13,0,0,0,0,0,0,0,0,0,0
good,43_1,14,0,0,0,0,0,0,0,0,0,0
good,43_1,15,0,0,0,0,0,0,0,0,0,0
good,43_1,16,0,0,0,0,0,0,0,0,0,0
good,43_1,17,0,0,0,0,0,0,0,0,0,0
good,43_1,18,0,0,0,0,0,0,0,0,0,0
good,43_1,19,0,0,0,1,0,0,0,0,0,0
good,43_1,20,0,0,0,0,0,0,0,0,0,0
good,43_1,21,0,0,0,0,0,0,0,0,0,0
good,43_1,22,0,0,0,0,0,0,0,0,0,1
good,43_1,23,0,0,0,0,0,0,0,0,0,0
good,43_1,24,0,0,0,0,0,0,0,0,0,0
good,43_1,25,0,0,0,0,0,0,0,0,0,0
good,43_1,26,0,0,0,0,0,0,0,0,0,0
good,43_1,27,0,0,0,0,0,0,0,1,0,0
good,43_1,28,0,0,1,0,0,0,0,0,0,0
good,43_1,29,0,0,0,0,0,0,0,0,0,0
good,43_1,30,0,0,0,0,0,0,0,0,0,0
good,43_1,31,0,0,0,0,0,0,0,0,0,0
good,43_1,32,0,0,0,0,0,0,0,0,1,0
good,43_1,33,0,0,0,0,0,0,0,0,0,0
good,43_1,34,0,0,0,0,0,0,1,1,0,0
good,43_1,35,0,0,0,0,0,0,0,0,0,0
good,43_1,36,0,0,1,0,0,0,0,0,0,0
good,43_1,37,0,0,0,0,0,0,0,0,0,0
good,43_1,38,0,0,0,0,0,0,0,1,0,0
good,43_1,39,0,0,0,0,0,0,0,0,0,0
good,43_1,40,0,0,0,0,0,0,0,0,0,0
good,43_1,41,0,0,0,0,0,0,0,0,0,0
good,43_1,42,0,0,0,0,0,0,0,1,0,0
good,43_1,43,0,0,0,0,0,0,0,0,0,0
good,43_1,44,0,0,0,0,0,0,0,0,1,0
good,43_1,45,0,0,0,0,0,0,0,0,0,0
good,43_1,46,0,0,0,0,0,0,0,0,0,0
good,43_1,47,0,0,0,0,0,0,0,0,0,0
good,43_1,48,0,0,0,0,0,0,0,0,0,0
good,43_1,49,0,0,0,0,0,0,0,0,0,0
good,43_1,50,0,0,0,0,0,0,0,0,0,0
good,43_1,51,0,0,0,0,0,0,0,0,1,0
